id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
47,Djibouti,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/250px-Flag_of_Djibouti.svg.png,,2025-09-07 18:54:29+03,0,0,country
48,Dominica,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/250px-Flag_of_Dominica.svg.png,,2025-09-07 18:54:29+03,0,0,country
255,Altai Republic,republic,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Altai_Republic.svg/250px-Flag_of_Altai_Republic.svg.png,,2025-09-07 19:11:52.898619+03,0,0,ru_regions
50,Ecuador,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/250px-Flag_of_Ecuador.svg.png,,2025-09-07 18:54:29+03,0,0,country
51,Egypt,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/250px-Flag_of_Egypt.svg.png,,2025-09-07 18:54:29+03,0,0,country
52,El Salvador,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/250px-Flag_of_El_Salvador.svg.png,,2025-09-07 18:54:29+03,0,0,country
53,Equatorial Guinea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/250px-Flag_of_Equatorial_Guinea.svg.png,,2025-09-07 18:54:29+03,0,0,country
54,Eritrea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/250px-Flag_of_Eritrea.svg.png,,2025-09-07 18:54:29+03,0,0,country
55,Estonia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/250px-Flag_of_Estonia.svg.png,,2025-09-07 18:54:29+03,0,0,country
56,Eswatini,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/250px-Flag_of_Eswatini.svg.png,,2025-09-07 18:54:29+03,0,0,country
57,Ethiopia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/250px-Flag_of_Ethiopia.svg.png,,2025-09-07 18:54:29+03,0,0,country
58,Fiji,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/250px-Flag_of_Fiji.svg.png,,2025-09-07 18:54:29+03,0,0,country
59,Finland,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/250px-Flag_of_Finland.svg.png,,2025-09-07 18:54:29+03,0,0,country
60,France,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/250px-Flag_of_France.svg.png,,2025-09-07 18:54:29+03,0,0,country
61,Gabon,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/250px-Flag_of_Gabon.svg.png,,2025-09-07 18:54:29+03,0,0,country
62,The Gambia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/250px-Flag_of_The_Gambia.svg.png,,2025-09-07 18:54:29+03,0,0,country
63,Georgia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/250px-Flag_of_Georgia.svg.png,,2025-09-07 18:54:29+03,0,0,country
64,Germany,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/250px-Flag_of_Germany.svg.png,,2025-09-07 18:54:29+03,0,0,country
65,Ghana,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/250px-Flag_of_Ghana.svg.png,,2025-09-07 18:54:29+03,0,0,country
66,Greece,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/250px-Flag_of_Greece.svg.png,,2025-09-07 18:54:29+03,0,0,country
67,Grenada,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/250px-Flag_of_Grenada.svg.png,,2025-09-07 18:54:29+03,0,0,country
68,Guatemala,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/250px-Flag_of_Guatemala.svg.png,,2025-09-07 18:54:29+03,0,0,country
69,Guinea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/250px-Flag_of_Guinea.svg.png,,2025-09-07 18:54:29+03,0,0,country
70,Guinea-Bissau,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/250px-Flag_of_Guinea-Bissau.svg.png,,2025-09-07 18:54:29+03,0,0,country
71,Guyana,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_Guyana.svg/250px-Flag_of_Guyana.svg.png,,2025-09-07 18:54:29+03,0,0,country
72,Haiti,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/250px-Flag_of_Haiti.svg.png,,2025-09-07 18:54:29+03,0,0,country
73,Honduras,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Honduras_%282022%E2%80%93present%29.svg/250px-Flag_of_Honduras_%282022%E2%80%93present%29.svg.png,,2025-09-07 18:54:29+03,0,0,country
74,Hungary,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/250px-Flag_of_Hungary.svg.png,,2025-09-07 18:54:29+03,0,0,country
75,Iceland,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/250px-Flag_of_Iceland.svg.png,,2025-09-07 18:54:29+03,0,0,country
76,India,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/250px-Flag_of_India.svg.png,,2025-09-07 18:54:29+03,0,0,country
77,Indonesia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/250px-Flag_of_Indonesia.svg.png,,2025-09-07 18:54:29+03,0,0,country
78,Iran,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/250px-Flag_of_Iran.svg.png,,2025-09-07 18:54:29+03,0,0,country
79,Iraq,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/250px-Flag_of_Iraq.svg.png,,2025-09-07 18:54:29+03,0,0,country
42,Croatia,UN,1,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/250px-Flag_of_Croatia.svg.png,,2025-09-07 18:54:29+03,1,0,country
