id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
53,Côte d'Ivoire(formerly Ivory Coast),UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/40px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,,2025-09-07 15:57:35,0,0,country
54,Croatia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/40px-Flag_of_Croatia.svg.png,,2025-09-07 15:57:35,0,0,country
55,Cuba,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/40px-Flag_of_Cuba.svg.png,,2025-09-07 15:57:35,0,0,country
56,Curaçao,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Cura%C3%A7ao.svg/40px-Flag_of_Cura%C3%A7ao.svg.png,,2025-09-07 15:57:35,0,0,country
57,Cyprus,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/40px-Flag_of_Cyprus.svg.png,,2025-09-07 15:57:35,0,0,country
58,Czech Republic,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/40px-Flag_of_the_Czech_Republic.svg.png,,2025-09-07 15:57:35,0,0,country
59,Denmark,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,,2025-09-07 15:57:35,0,0,country
60,Djibouti,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/40px-Flag_of_Djibouti.svg.png,,2025-09-07 15:57:35,0,0,country
61,Dominica,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/40px-Flag_of_Dominica.svg.png,,2025-09-07 15:57:35,0,0,country
62,Dominican Republic,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/40px-Flag_of_the_Dominican_Republic.svg.png,,2025-09-07 15:57:35,0,0,country
63,East Timor,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Flag_of_East_Timor.svg/40px-Flag_of_East_Timor.svg.png,,2025-09-07 15:57:35,0,0,country
64,Ecuador,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/40px-Flag_of_Ecuador.svg.png,,2025-09-07 15:57:35,0,0,country
65,Egypt,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/40px-Flag_of_Egypt.svg.png,,2025-09-07 15:57:35,0,0,country
66,El Salvador,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/40px-Flag_of_El_Salvador.svg.png,,2025-09-07 15:57:35,0,0,country
67,Equatorial Guinea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/40px-Flag_of_Equatorial_Guinea.svg.png,,2025-09-07 15:57:35,0,0,country
68,Eritrea,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/40px-Flag_of_Eritrea.svg.png,,2025-09-07 15:57:35,0,0,country
69,Estonia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/40px-Flag_of_Estonia.svg.png,,2025-09-07 15:57:35,0,0,country
70,Eswatini(formerly Swaziland),UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Flag_of_Eswatini.svg/40px-Flag_of_Eswatini.svg.png,,2025-09-07 15:57:35,0,0,country
71,Ethiopia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/40px-Flag_of_Ethiopia.svg.png,,2025-09-07 15:57:35,0,0,country
72,Falkland Islands,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_the_Falkland_Islands.svg/40px-Flag_of_the_Falkland_Islands.svg.png,,2025-09-07 15:57:35,0,0,country
73,Faroe Islands,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Flag_of_the_Faroe_Islands.svg/40px-Flag_of_the_Faroe_Islands.svg.png,,2025-09-07 15:57:35,0,0,country
74,Fiji,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Fiji.svg/40px-Flag_of_Fiji.svg.png,,2025-09-07 15:57:35,0,0,country
75,Finland,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/40px-Flag_of_Finland.svg.png,,2025-09-07 15:57:35,0,0,country
76,France,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,2025-09-07 15:57:35,0,0,country
